time_seconds,x_meters,y_meters,z_meters
0,90,-200,20
1,90,-200,20
2,90,-200,20
3,90,-200,20
4,90,-200,20
5,90,-200,20
6,89.5622,-180.082,18.2489
7,89.1245,-160.163,16.4979
8,88.6867,-140.245,14.7468
9,88.2489,-120.326,12.9957
10,87.8112,-100.408,11.2447
11,87.3734,-80.4897,9.4936
12,86.9356,-60.5713,7.74253
13,86.4979,-40.6529,5.99146
14,86.0601,-20.7345,4.2404
15,85.6223,-0.816134,2.48933
16,85.1846,19.1023,0.738264
17,96.5461,26.791,0
18,116.508,25.5653,0
19,136.471,24.3395,0
20,137.312,37.6795,0
21,130.828,56.5994,0
22,124.345,75.5192,0
